pair,session_name,session_start_utc,session_end_utc,managed_close_start_utc,policy_id,policy_source,risk_mode,account_equity,trade_count,gross_lots,realized_pnl,max_drawdown,max_adverse_excursion,max_open_legs,exit_reason,bars_processed,entered_managed_close,gated_by_event_risk,gated_by_entry_intent,derived_entry_direction
EURJPY,asia,2026-01-01T23:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.814909,0.0,0.0,3,basket_tp_pips,2,false,false,false,
GBPJPY,asia,2026-01-01T23:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,3,0.1515,3.673751,0.0,0.0,3,basket_tp_pips,2,false,false,false,
GBPUSD,asia,2026-01-01T23:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,3,0.1525,5.376768,4.98225,4.98225,3,basket_tp_pips,181,false,false,false,
NZDUSD,asia,2026-01-01T23:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,2026-01-02T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,1,0.05,1.95,2.665,2.665,1,basket_tp_pips,2,false,false,false,
EURJPY,asia,2026-01-02T23:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2026-01-02T23:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2026-01-02T23:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2026-01-02T23:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,2026-01-03T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2026-01-03T23:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPJPY,asia,2026-01-03T23:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,session_optimizer_new_york_gbpjpy_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
GBPUSD,asia,2026-01-03T23:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,session_optimizer_new_york_gbpusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
NZDUSD,asia,2026-01-03T23:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,2026-01-04T03:00:00.000000+0000,session_optimizer_new_york_nzdusd_medium,live_policy,medium,10000.0,0,0.0,0.0,0.0,0.0,0,no_bars,0,false,false,false,
EURJPY,asia,2026-01-04T23:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,2026-01-05T03:00:00.000000+0000,both_sides_normal,live_policy,medium,10000.0,3,0.032,0.814909,0.0324,0.0324,3,basket_tp_pips,6,false,false,false,
